,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
217,218,16.89793909192015,5.57585669732824,-11.28741080509708,3,-1,(3;-1),Ligação,-0.6868107697,-0.6859159491,0.3479627131,-1.024764006
218,219,24.63966916932694,10.33266301963125,-10.96830501610247,3,-1,(3;-1),Ligação,-0.4507061797,-0.3800548535,0.3322005492,-0.498560484
219,220,12.84046916147615,4.20496563833021,-10.11342466870272,3,-1,(3;-1),Ligação,-0.3664826059,-0.1265230163,1.104732684,0.6117270615
220,221,12.23788377228257,3.66083193179399,-10.43766428544008,3,-1,(3;-1),Ligação,-0.5256144152,-0.2347039538,1.006207526,0.2458891567
221,222,16.12121986479738,1.78772648965773,-8.13452275239212,3,-3,(3;-3),Nuclear,-4.449980101,-4.448144614,-3.840334368,-12.73845908
222,223,12.26830867935136,4.69993617222919,-11.15667053651598,3,-3,(3;-3),Nuclear,-19.40314879,-19.38171181,-18.53727874,-57.32213934
223,224,17.22485395000679,5.00777609138777,-10.21397033328639,3,-3,(3;-3),Nuclear,-86044.83333,-86044.58015,-86044.34278,-258133.7563
224,225,16.72173826322563,5.91149452769395,-11.9003362835794,3,-3,(3;-3),Nuclear,-4.431558727,-4.431053616,-3.85292564,-12.71553798
225,226,26.30205599942478,5.44572924726213,-7.61303804561924,3,-1,(3;-1),Ligação,-0.6683209066,-0.5335249144,0.3731263184,-0.8287195026
226,227,24.87824843112839,3.90806330486287,-8.36164882648615,3,-1,(3;-1),Ligação,-0.7126521414,-0.7025519799,0.3630917614,-1.05211236
227,228,16.9481385627595,6.25537407797762,-8.69402643743216,3,-3,(3;-3),Nuclear,-4.35829076,-4.357351806,-3.771962368,-12.48760493
228,229,23.31392857710792,6.5222956106711,-10.77590854159033,3,-1,(3;-1),Ligação,-0.7142840909,-0.701534971,0.3681489699,-1.047670092
229,230,24.27193616180249,11.14829372981745,-13.386179102012,3,-1,(3;-1),Ligação,-0.4143325372,-0.3683639023,0.3205256005,-0.462170839
230,231,19.13559798113874,4.48235642816242,-10.28745521017579,3,-3,(3;-3),Nuclear,-4.362424287,-4.359813098,-3.766133352,-12.48837074
231,232,26.69163354321617,8.8559067267759,-12.27907462549994,3,-1,(3;-1),Ligação,-0.009086617677,-0.006901419094,0.05784279583,0.04185475906
232,233,22.13879400349479,21.29499990376288,0.66287586467098,3,-1,(3;-1),Ligação,-0.01221113841,-0.009117680076,0.06604539218,0.0447165737
233,234,25.8282230545219,10.61793235798573,-15.06116264946858,3,-1,(3;-1),Ligação,-0.4532962577,-0.4484790305,0.3591386214,-0.5426366668
234,235,12.74432043622084,3.41854564033398,-9.62249875689689,3,-3,(3;-3),Nuclear,-86327.66611,-86322.4426,-86317.62431,-258967.733
235,236,12.04322403105214,4.69786028061419,-7.15072390916516,3,-3,(3;-3),Nuclear,-85996.14995,-85995.71303,-85995.66278,-257987.5258
236,237,12.50977362728616,3.49745532209014,-5.56142866162325,3,-3,(3;-3),Nuclear,-4.148140732,-4.146357823,-3.602592458,-11.89709101
237,238,21.06797822179227,19.85689004560092,1.86044656515703,3,-1,(3;-1),Ligação,-0.01467290197,-0.01270463455,0.08815957741,0.06078204089
238,239,10.03309885735798,5.08578593339629,-7.09538516979198,3,-3,(3;-3),Nuclear,-4.276557881,-4.272849948,-3.742950546,-12.29235837
239,240,13.03516955163288,6.47556200439379,-6.93633396145808,3,-3,(3;-3),Nuclear,-4.354753057,-4.353470393,-3.828498421,-12.53672187
240,241,18.76876510463702,-0.03590289018339,-12.36070258800867,3,-3,(3;-3),Nuclear,-86499.54263,-86496.87856,-86496.51365,-259492.9348
241,242,24.70615664279977,8.09779476786334,-10.06806419087167,3,-1,(3;-1),Ligação,-0.6087200956,-0.5092321596,0.3661813218,-0.7517709335
242,243,22.7317936336941,7.78287290308729,-15.09594743910963,3,-1,(3;-1),Ligação,-1.299485745,-1.220984511,0.9586844115,-1.561785844
243,244,23.92524668896019,12.20841004953997,-11.56218414015228,3,-1,(3;-1),Ligação,-0.4587386058,-0.2071326356,1.014091837,0.348220596
244,245,20.13502114750246,1.33224687885222,-13.6683793749193,3,-3,(3;-3),Nuclear,-387787.672,-387781.0267,-387759.1321,-1163327.831
245,246,27.68155458803872,5.2088201008389,-6.29502955610172,3,-1,(3;-1),Ligação,-0.5886042188,-0.5638087129,0.6855109728,-0.4669019589
246,247,22.73718492750386,9.03100063906383,-15.80944791959317,3,-3,(3;-3),Nuclear,-192165.4188,-192163.6659,-192151.3314,-576480.416
247,248,24.1765492862005,12.1040958649908,-15.37394842026637,3,-1,(3;-1),Ligação,-0.7526665588,-0.7483281792,0.3695740079,-1.13142073
248,249,22.73255671533064,7.46445169026682,-14.91096979532268,3,-3,(3;-3),Nuclear,-4.278419048,-4.245116928,-3.176065869,-11.69960184
249,250,21.71317627331283,9.32285173559833,-17.25902153423998,3,-3,(3;-3),Nuclear,-4.131624714,-4.098981919,-2.996980894,-11.22758753
250,251,28.14340098220264,11.45010338960349,-16.73566066520329,3,-3,(3;-3),Nuclear,-4.25290772,-4.245121685,-3.614656776,-12.11268618
251,252,24.38422493030072,11.98171457891492,-11.71952355257955,3,1,(3;+1),Anel,-0.06320812726,0.1496203317,2.402125711,2.488537915
252,253,24.45493954467934,10.9566285570006,-14.77009725105631,3,-3,(3;-3),Nuclear,-86080.11696,-86079.31116,-86078.16828,-258237.5964
253,254,27.55426082442562,9.66620513894075,-15.06283438324788,3,-1,(3;-1),Ligação,-0.9723202418,-0.9456442524,2.105137619,0.187173125
254,255,24.03283348757206,12.67720316637039,-15.67678708327184,3,-3,(3;-3),Nuclear,-4.457697752,-4.455063499,-3.82355567,-12.73631692
255,256,27.84273733646902,11.08354810465688,-16.30414171777677,3,-1,(3;-1),Ligação,-0.7459711307,-0.7415872861,0.3509934483,-1.136564968
256,257,26.16661801463314,9.68330928371147,-9.29913444906611,3,-1,(3;-1),Ligação,-0.6119549354,-0.5115093277,0.3716206913,-0.7518435717
257,258,27.67894736660428,9.12669992095742,-7.68844017761004,3,-1,(3;-1),Ligação,-0.6314304861,-0.5139022119,0.365337684,-0.779995014
258,259,24.6369346488999,11.90645844045261,-11.74895243858209,3,-1,(3;-1),Ligação,-0.2210415448,-0.09758739706,1.264524696,0.9458957544
259,260,23.99766033896959,11.32136633120313,-11.88448124635917,3,-3,(3;-3),Nuclear,-86499.93047,-86494.46677,-86491.22632,-259485.6236
260,261,27.59980915512513,11.19925428829886,-8.52750110680582,3,-1,(3;-1),Ligação,-0.7104654121,-0.6974618859,0.3571582619,-1.050769036
261,262,24.77970681910675,13.13265700612276,-11.31883733683215,3,-3,(3;-3),Nuclear,-19.16671054,-19.06733877,-18.02295421,-56.25700352
262,263,27.7732232030235,7.0443664300556,-6.84175763994943,3,-1,(3;-1),Ligação,-0.6707864335,-0.5327581083,0.3727122976,-0.8308322441
263,264,25.16548056478031,9.35036867027355,-10.10436744866708,3,-3,(3;-3),Nuclear,-86253.03115,-86252.50382,-86251.83783,-258757.3728
264,265,18.57538372601858,16.2487694042312,1.61370963541371,3,-1,(3;-1),Ligação,-1.325892996,-1.246889274,0.9834807052,-1.589301565
265,266,24.27731011007395,6.86915466231602,-10.01177120711683,3,-3,(3;-3),Nuclear,-86242.09879,-86241.40275,-86241.23739,-258724.7389
266,267,22.78054102493589,6.32868392375684,-11.19832842815959,3,-3,(3;-3),Nuclear,-4.550557989,-4.542801137,-3.954529949,-13.04788908
267,268,24.63315064707158,3.25570252331802,-8.34810837219169,3,-3,(3;-3),Nuclear,-4.476467305,-4.470318667,-3.875567154,-12.82235313
268,269,25.33177716825714,5.11548701388068,-8.38849467412444,3,-3,(3;-3),Nuclear,-86270.69345,-86269.74584,-86269.6413,-258810.0806
269,270,27.29898785756719,5.81468020755937,-6.82757328596098,3,-3,(3;-3),Nuclear,-86229.73161,-86228.87288,-86227.88766,-258686.4921
270,271,29.452452764492,3.37478665155016,-5.88651802116411,3,-1,(3;-1),Ligação,-1.855372077,-1.810646538,1.438409973,-2.227608643
271,272,29.63627974685998,3.25517676443453,-5.99441981919872,3,-3,(3;-3),Nuclear,-4.056531808,-4.03223268,-2.491444576,-10.58020907
272,273,28.35156731327682,4.07236286891432,-5.20432376913884,3,-3,(3;-3),Nuclear,-386766.3962,-386751.6652,-386734.1145,-1160252.176
273,274,27.15347475430573,10.00043365350323,-8.5018772605192,3,-3,(3;-3),Nuclear,-86245.04999,-86244.29743,-86244.18404,-258733.5315
274,275,27.84923813748304,11.85848906760889,-8.53722667220839,3,-3,(3;-3),Nuclear,-4.481334108,-4.474070043,-3.880209303,-12.83561345
275,276,9.61911807136338,17.13253332221763,11.35520221989697,3,-1,(3;-1),Ligação,-0.4788224238,-0.4406376253,0.3601508677,-0.5593091814
276,277,28.21361311458612,8.25243565210193,-6.87860169047384,3,-3,(3;-3),Nuclear,-86272.66045,-86271.7991,-86271.61062,-258816.0702
277,278,29.70833369898217,8.78560543874359,-5.68942736544131,3,-3,(3;-3),Nuclear,-4.509871223,-4.503414501,-3.913315453,-12.92660118
278,279,27.22150725120386,10.27821612279016,-15.39370715033719,3,-3,(3;-3),Nuclear,-86476.5584,-86474.1367,-86473.7052,-259424.4003
279,280,28.24572746838285,8.42441443463382,-14.40727890567551,3,-3,(3;-3),Nuclear,-388178.1632,-388171.8222,-388154.0153,-1164504.001
280,281,19.60590853763683,17.14170790583852,2.0900367516236,3,-3,(3;-3),Nuclear,-192127.0275,-192125.7416,-192112.6683,-576365.4373
281,282,19.45027526219636,17.86104063494447,5.59051476800982,3,-1,(3;-1),Ligação,-0.4711858238,-0.4377061411,0.3627782605,-0.5461137045
282,283,20.0893009680793,17.20391333139624,3.6807546192169,3,-1,(3;-1),Ligação,-0.4969506897,-0.4564570003,0.3488932343,-0.6045144557
283,284,23.12806471801295,19.76755419679275,4.55931135793184,3,-1,(3;-1),Ligação,-0.4213098526,-0.3482017516,0.3134232059,-0.4560883983
284,285,20.50440045167855,15.95140659368204,5.17893873900783,3,-1,(3;-1),Ligação,-0.7604022177,-0.7494098535,0.3705832725,-1.139228799
285,286,20.28363542519691,18.05121388742826,1.22781539665097,3,-1,(3;-1),Ligação,-1.253943531,-1.165839172,0.9267127414,-1.493069962
286,287,17.54583063260463,19.29674534584394,5.93764273115215,3,-1,(3;-1),Ligação,-0.7023225994,-0.6993148754,0.3734334753,-1.028204
287,288,22.85595162401317,21.23556391536787,-1.3466120819283,3,-1,(3;-1),Ligação,-1.210499145,-1.205474967,0.9999936169,-1.415980494
288,289,21.50283942447639,20.34789860369666,0.66085455950835,3,1,(3;+1),Anel,-0.006414968336,0.01476959196,0.01663959735,0.02499422098
289,290,26.00446420077178,21.10753792216781,1.42349281044655,3,-1,(3;-1),Ligação,-0.3985481456,-0.3654061963,0.3219434695,-0.4420108725
290,291,24.5396738217225,22.97869536435411,-1.8980364463193,3,-1,(3;-1),Ligação,-1.230546947,-1.226542931,0.9635679896,-1.493521888
291,292,20.55726913072156,15.32483182695354,5.36766064326923,3,-3,(3;-3),Nuclear,-4.436245048,-4.432523426,-3.799149984,-12.66791846
292,293,20.47040769326507,18.29799152724335,0.99433253979682,3,-3,(3;-3),Nuclear,-4.380499358,-4.344031588,-3.33402655,-12.0585575
293,294,22.80889809455142,20.98955280279288,3.28151227342321,3,-1,(3;-1),Ligação,-0.3039251558,-0.1892635044,1.103299732,0.6101110719
294,295,26.84270987308504,20.80312518975632,-0.07138912484286,3,-1,(3;-1),Ligação,-0.3178771589,-0.2488132488,1.161249023,0.5945586151
295,296,22.58264143169694,21.60378447139663,3.63871359956756,3,-1,(3;-1),Ligação,-0.3777301179,-0.2246919491,1.010075587,0.4076535202
296,297,22.73636342973819,21.28164668063091,3.49038586332072,3,1,(3;+1),Anel,-0.1352871643,0.1935327493,2.102787101,2.161032686
297,298,24.51998802730202,21.40189034333837,3.32287498120821,3,-1,(3;-1),Ligação,-0.3864614937,-0.3529582914,0.3084836325,-0.4309361527
