,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
207,208,19.22237500348945,-1.14075842184846,-11.74055758984764,3,-1,(3;-1),Ligação,-0.8673249173,-0.8559124316,0.5061453209,-1.217092028
208,209,27.6011018772057,11.19806526354936,-8.52595150144273,3,-1,(3;-1),Ligação,-0.8279039532,-0.8128922658,0.4597135965,-1.181082623
209,210,18.45279150416408,4.66876247491586,-10.26140597844396,3,-1,(3;-1),Ligação,-0.8184911255,-0.8162468729,0.4669004489,-1.16783755
210,211,15.25796139477868,1.47311893191225,-13.74723626599903,3,-3,(3;-3),Nuclear,-24.86546502,-24.85434537,-23.47460209,-73.19441248
211,212,26.60291429693452,8.99772695695906,-12.32960548400253,3,-1,(3;-1),Ligação,-0.008536691882,-0.002956410839,0.05970025663,0.04820715391
212,213,15.56756352756139,2.64372686788811,-9.83791490919692,3,-3,(3;-3),Nuclear,-745140.5241,-745139.7022,-745138.5049,-2235418.731
213,214,16.90164448358972,5.57357349591796,-11.27987528994022,3,-1,(3;-1),Ligação,-0.8000078567,-0.7955151591,0.4471444432,-1.148378573
214,215,24.80997492941237,5.99280716081694,-9.20017390023138,3,-1,(3;-1),Ligação,-0.7319903376,-0.6083294186,0.3369728608,-1.003346895
215,216,22.85392999482841,7.06735629213263,-13.08317269680775,3,-1,(3;-1),Ligação,-0.01042190151,-0.009811486249,0.05563190163,0.03539851387
216,217,23.31297602025191,6.52115493417415,-10.7755217401417,3,-1,(3;-1),Ligação,-0.8342782638,-0.8194407803,0.4658474324,-1.187871612
217,218,16.1345855604845,1.76837045248169,-8.09649460692245,3,-3,(3;-3),Nuclear,-24.4542496,-24.45285006,-23.02118031,-71.92827997
218,219,17.22485340103962,5.0077740842675,-10.21396976545355,3,-3,(3;-3),Nuclear,-745296.1823,-745295.3543,-745294.9243,-2235886.461
219,220,23.46993586255325,18.29447255972835,5.88672698123025,3,-1,(3;-1),Ligação,-0.4638685741,-0.3883893761,1.040672485,0.1884145352
220,221,27.68131637623437,5.20412186418327,-6.28496377329926,3,-1,(3;-1),Ligação,-0.6421646633,-0.6285966129,0.5550617097,-0.7156995664
221,222,16.94286370537816,6.2834633483662,-8.66014442920162,3,-3,(3;-3),Nuclear,-24.54998515,-24.54886386,-23.186872,-72.28572101
222,223,24.87851628892619,3.90888729019075,-8.36181907098842,3,-1,(3;-1),Ligação,-0.8314680919,-0.8183649562,0.4658619684,-1.18397108
223,224,26.16894673795742,9.68300129676304,-9.29844706385181,3,-1,(3;-1),Ligação,-0.7124703392,-0.6028203195,0.3445467047,-0.970743954
224,225,16.71167722147768,5.93203031002024,-11.93697105817116,3,-3,(3;-3),Nuclear,-24.87517065,-24.87442526,-23.51827347,-73.26786937
225,226,25.82384674902856,10.61690349386974,-15.06470971908543,3,-1,(3;-1),Ligação,-0.5185971732,-0.513475796,0.3858306556,-0.6462423136
226,227,21.9401653659409,9.2577267321057,-16.93706058702414,3,-1,(3;-1),Ligação,-1.484028415,-1.394162301,0.8106113773,-2.067579338
227,228,19.17865356357251,4.4704519963064,-10.28909084054352,3,-3,(3;-3),Nuclear,-24.50504503,-24.50325157,-23.10969354,-72.11799014
228,229,12.74431450006993,3.41851936506444,-9.6224872518295,3,-3,(3;-3),Nuclear,-746541.6662,-746533.747,-746524.2035,-2239599.617
229,230,12.26402650978217,4.70743353061566,-11.16683561272515,3,-3,(3;-3),Nuclear,-237.9197154,-237.4976756,-115.7781114,-591.1955024
230,231,12.04322467494568,4.69785914302229,-7.15072408685702,3,-3,(3;-3),Nuclear,-745016.869,-745015.9179,-745015.8039,-2235048.591
231,232,9.99248940559539,5.09278514276965,-7.09434788748234,3,-3,(3;-3),Nuclear,-23.75297415,-23.74522929,-22.54250437,-70.04070782
232,233,12.51887381244414,3.4724443048108,-5.52716874462481,3,-3,(3;-3),Nuclear,-23.1520229,-23.14835569,-21.89798368,-68.19836226
233,234,13.0545975908188,6.51017713904282,-6.93254283704121,3,-3,(3;-3),Nuclear,-24.09434978,-24.09083611,-22.91751129,-71.10269718
