,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
204,205,22.73271115556344,7.82496633715843,-15.11957736638982,3,-1,(3;-1),Ligação,-1.352891881,-1.270379232,0.8738836325,-1.74938748
205,206,24.81091297937047,5.9937585150556,-9.19955924081205,3,-1,(3;-1),Ligação,-0.7138594009,-0.5884788684,0.336317347,-0.9660209222
206,207,15.26331178554589,1.46718937486761,-13.73425124341781,3,-3,(3;-3),Nuclear,-9.438500267,-9.429061696,-8.69901557,-27.56657753
207,208,12.3050686945284,3.73016216919504,-10.40751303436088,3,-1,(3;-1),Ligação,-0.4722412048,-0.3232711095,1.025967359,0.2304550448
208,209,15.56756314003868,2.64372693722791,-9.83791567437247,3,-3,(3;-3),Nuclear,-322264.4217,-322263.7377,-322262.8455,-966791.005
209,210,16.89226180404086,5.58831051527011,-11.30791461603939,3,-1,(3;-1),Ligação,-0.760384105,-0.7549126788,0.5130069198,-1.002289864
210,211,16.12982564744745,1.77518065474582,-8.10997396664107,3,-3,(3;-3),Nuclear,-9.281815172,-9.281018305,-8.529421492,-27.09225497
211,212,19.16371481359461,4.47448813798107,-10.28850251945874,3,-3,(3;-3),Nuclear,-9.306117376,-9.30584888,-8.573797629,-27.18576388
212,213,12.68840875232722,5.85338379844832,-7.01089525323989,3,-1,(3;-1),Ligação,-0.6929837688,-0.6854193197,0.4990032288,-0.8793998597
213,214,16.94461917119645,6.27377831093442,-8.67174240673607,3,-3,(3;-3),Nuclear,-9.325801837,-9.323901903,-8.607952959,-27.2576567
214,215,17.2248530320021,5.00777380553907,-10.21396980344627,3,-3,(3;-3),Nuclear,-322308.5076,-322307.9116,-322307.5562,-966923.9754
215,216,26.29613883210041,5.44152250268437,-7.61720169224554,3,-1,(3;-1),Ligação,-0.7567576487,-0.6075900125,0.3437328183,-1.020614843
216,217,21.69041160025096,17.84607506800267,4.94535005996342,3,-1,(3;-1),Ligação,-0.4758592194,-0.4101426857,0.3301506589,-0.5558512463
217,218,27.68593896100435,5.19717830673431,-6.27939758318241,3,-1,(3;-1),Ligação,-0.6065350307,-0.5929578524,0.5374855939,-0.6620072892
218,219,7.71249447914496,17.26346236112977,11.96241486762605,3,-1,(3;-1),Ligação,-1.049362273,-0.9849078048,1.719560641,-0.3147094368
219,220,16.71510004873339,5.92487249389222,-11.92427953900215,3,-3,(3;-3),Nuclear,-9.445909427,-9.444441539,-8.731366225,-27.62171719
220,221,17.52395319945572,19.31455576448398,5.92560939645244,3,-1,(3;-1),Ligação,-0.7912184967,-0.7836671555,0.5582081533,-1.016677499
221,222,24.63030512457162,10.34005762485419,-10.97721460580559,3,-1,(3;-1),Ligação,-0.4996015096,-0.4273396218,0.3340346611,-0.5929064704
222,223,21.93801624353556,9.25703378378057,-16.93895484081576,3,-1,(3;-1),Ligação,-1.376427966,-1.292839373,0.8376505953,-1.831616744
223,224,27.8470140651981,11.08470411613946,-16.30701609481488,3,-1,(3;-1),Ligação,-0.8356389208,-0.8256458214,0.5861620928,-1.075122649
224,225,24.7046878318066,8.09095626674883,-10.06749591993088,3,-1,(3;-1),Ligação,-0.6926743147,-0.5822052071,0.3365867727,-0.9382927491
225,226,12.74431601242669,3.41852390524337,-9.62248874691934,3,-3,(3;-3),Nuclear,-322950.8189,-322943.8364,-322936.6275,-968831.2828
226,227,12.26489092575545,4.70618648986526,-11.16483437146883,3,-3,(3;-3),Nuclear,-69.46620914,-69.22273934,-61.49228537,-200.1812338
227,228,21.47538934120286,19.83807715393373,-0.02749789583081,3,-1,(3;-1),Ligação,-0.005642113357,-0.004353350901,0.02515521212,0.01515974786
228,229,12.04322476509084,4.69785911338136,-7.15072460194047,3,-3,(3;-3),Nuclear,-322178.698,-322178.0173,-322177.912,-966534.6272
229,230,20.26168459185359,18.02101545787764,1.25708901968624,3,-1,(3;-1),Ligação,-1.316174781,-1.22601159,0.8995646928,-1.642621678
230,231,25.82356173335641,10.61635295747179,-15.06376029240362,3,-1,(3;-1),Ligação,-0.510682693,-0.5067956266,0.3740823834,-0.6433959362
231,232,12.51573738481851,3.48097057964577,-5.53899334274054,3,-3,(3;-3),Nuclear,-8.82310174,-8.820127413,-8.16846506,-25.81169421
232,233,13.04786633285408,6.49822062733693,-6.9338597584218,3,-3,(3;-3),Nuclear,-9.174694486,-9.170818134,-8.549552378,-26.895065
233,234,18.46702253339068,18.38219674144343,7.27801010735021,3,-1,(3;-1),Ligação,-1.042976121,-0.973859737,1.684175664,-0.3326601943
234,235,18.76876082408333,-0.03590336688612,-12.36070005905396,3,-3,(3;-3),Nuclear,-323364.1589,-323359.0361,-323358.7595,-970081.9546
235,236,20.1350286347391,1.33225375392069,-13.66838613458287,3,-3,(3;-3),Nuclear,-1503118.149,-1503104.748,-1503074.93,-4509297.826
236,237,22.73718545790919,9.03100180626898,-15.809448107229,3,-3,(3;-3),Nuclear,-735762.7074,-735759.7883,-735740.9981,-2207263.494
237,238,24.17438005630753,12.11152014258881,-15.37736753373308,3,-1,(3;-1),Ligação,-0.8244312332,-0.8184438648,0.5711123171,-1.071762781
238,239,27.5630340868848,9.65380674829913,-15.05784038322852,3,-1,(3;-1),Ligação,-1.033952865,-0.9690371563,1.683551132,-0.3194388892
239,240,24.01270987706845,12.17266290356371,-11.5878029023228,3,-1,(3;-1),Ligação,-0.3377625265,-0.2729224268,1.063725107,0.4530401537
240,241,22.7329216747007,7.42583068073902,-14.88854458498156,3,-3,(3;-3),Nuclear,-9.035062954,-9.006671877,-7.870906639,-25.91264147
241,242,24.4549440996519,10.95663024039228,-14.77009820353194,3,-3,(3;-3),Nuclear,-322241.0841,-322239.7879,-322237.9167,-966718.7888
242,243,28.15850581818231,11.46743757607743,-16.75687618292805,3,-3,(3;-3),Nuclear,-9.012206558,-9.002917218,-8.234733705,-26.24985748
243,244,26.16900740535372,9.68245452524167,-9.29780990341064,3,-1,(3;-1),Ligação,-0.6956325502,-0.5846554276,0.3413385945,-0.9389493833
244,245,20.08120327181236,17.20255627106354,3.65997160793956,3,-1,(3;-1),Ligação,-0.5198085117,-0.482219422,0.4073542098,-0.5946737238
245,246,24.0264908342063,12.70273983897746,-15.69037257620864,3,-3,(3;-3),Nuclear,-9.25604635,-9.25313696,-8.481347777,-26.99053109
246,247,23.99764090033432,11.32135364088021,-11.88448604262728,3,-3,(3;-3),Nuclear,-323230.2549,-323223.1363,-323217.92,-969671.3111
247,248,24.78076366083405,13.14401994862032,-11.3169698668348,3,-3,(3;-3),Nuclear,-65.68482427,-65.33999764,-54.86715694,-185.8919789
248,249,25.16548203075107,9.35036636291038,-10.10436637348521,3,-3,(3;-3),Nuclear,-322648.8116,-322647.1159,-322645.7145,-967941.6419
249,250,24.27731168937438,6.86915476975402,-10.01176939767818,3,-3,(3;-3),Nuclear,-322664.2222,-322662.1202,-322661.7991,-967988.1415
250,251,22.76011607583134,6.32115483185883,-11.21417009398069,3,-3,(3;-3),Nuclear,-9.260886156,-9.252968886,-8.514857133,-27.02871217
251,252,25.33177861181271,5.11548867417577,-8.38849435561895,3,-3,(3;-3),Nuclear,-322713.5504,-322711.2441,-322710.7317,-968135.5262
252,253,24.62345378055088,3.2295565964698,-8.34749979923323,3,-3,(3;-3),Nuclear,-9.141976639,-9.134622379,-8.391537319,-26.66813634
253,254,29.1995860245029,8.60327669485471,-6.09492341342871,3,-1,(3;-1),Ligação,-0.7879841073,-0.7728850419,0.5329550405,-1.027914109
