,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
81,82,12.3196527828958,3.73054793246565,-10.38776771964361,3,-1,(3;-1),Ligação,-0.4228129463,-0.3330144085,1.108978981,0.3531516266
82,83,16.14962015765095,-7.19379272642651,8.63532128060226,3,-3,(3;-3),Nuclear,-9.286043584,-9.282699534,-8.479632145,-27.04837526
83,84,11.99153974624573,-2.36428077214196,-2.58676573163623,3,-1,(3;-1),Ligação,-0.5352785615,-0.5067386606,0.4048881672,-0.6371290549
84,85,17.49829949162283,-4.23079293253291,8.24268912339219,3,-3,(3;-3),Nuclear,-9.336301709,-9.334105087,-8.555959983,-27.22636678
85,86,14.94838184030469,-5.13601296270252,6.37834962631382,3,-3,(3;-3),Nuclear,-9.310958517,-9.308792942,-8.519230062,-27.13898152
86,87,7.19149815226749,2.68758282968577,5.32803828603948,3,-1,(3;-1),Ligação,-0.7783370308,-0.7732751327,0.4868361873,-1.064775976
87,88,7.30144981993638,-3.4741227738434,4.31901814492291,3,-1,(3;-1),Ligação,-1.052447896,-1.005033053,1.744696989,-0.3127839603
88,89,5.65170237290193,-3.02136416323592,5.37681170072124,3,-1,(3;-1),Ligação,-0.5239233221,-0.5011799147,0.3758720086,-0.6492312282
89,90,12.94350687281777,1.62171141386144,-4.42464459683387,3,-1,(3;-1),Ligação,-0.00457390732,-0.004528419649,0.02316414282,0.01406181586
90,91,13.37925950003316,-3.5111108232775,14.9723007927152,3,-3,(3;-3),Nuclear,-323337.8218,-323332.9258,-323332.407,-970003.1545
91,92,5.06939502128062,-1.32364209772642,9.19745397147614,3,-1,(3;-1),Ligação,-0.3820321675,-0.3183124315,1.154765117,0.4544205181
92,93,16.30475995478329,12.66809751201002,9.76208515813931,3,-1,(3;-1),Ligação,-0.7310382091,-0.6420680657,0.3800478359,-0.9930584389
93,94,11.05868302841731,-3.5111110574573,15.23497159150771,3,-3,(3;-3),Nuclear,-1503411.999,-1503398.215,-1503369.105,-4510179.319
94,95,15.09702284848877,3.76055616041697,20.10479640348198,3,-3,(3;-3),Nuclear,-735730.6347,-735726.8626,-735708.3509,-2207165.848
95,96,13.72786329681029,4.03496355287279,20.19955015958797,3,-1,(3;-1),Ligação,-1.4305712,-1.346795248,0.7698390596,-2.007527388
96,97,17.9087655026837,5.3883087342424,21.23370469256199,3,-1,(3;-1),Ligação,-0.8129555723,-0.7894699501,0.5058834972,-1.096542025
97,98,13.29137580136745,4.12436536138995,20.23183907965877,3,-3,(3;-3),Nuclear,-8.878911554,-8.85187394,-7.522195498,-25.25298099
98,99,17.06709591675103,10.72593317855593,16.65748711002387,3,1,(3;+1),Anel,-0.002932018747,0.00292224947,0.01894333597,0.01893356669
99,100,16.97006967152793,6.79284226466623,19.79241749868524,3,-1,(3;-1),Ligação,-0.4892022391,-0.4626826285,0.3572462439,-0.5946386236
100,101,15.7879971023203,10.41408446998278,16.68902272469704,3,-1,(3;-1),Ligação,-0.004943325471,-0.004477047598,0.02922256119,0.01980218812
101,102,17.35920277084223,7.1996533328042,17.8165326991444,3,-1,(3;-1),Ligação,-0.5262965534,-0.5134006967,0.4179732007,-0.6217240494
102,103,18.27322626613023,8.63703992507728,18.82269664728203,3,-1,(3;-1),Ligação,-0.5101101624,-0.4904830083,0.3517270308,-0.6488661399
103,104,16.10337789265409,8.41006964160212,18.47111549606302,3,-1,(3;-1),Ligação,-0.8343726479,-0.8009411726,0.5053497944,-1.129964026
104,105,14.89090910842854,7.19856900879333,23.39979238211053,3,-1,(3;-1),Ligação,-1.046445988,-0.9688254783,1.686649132,-0.3286223345
105,106,20.38878963069941,8.93001643743301,19.42959898777295,3,-1,(3;-1),Ligação,-0.7741856033,-0.7715896104,0.4856257343,-1.060149479
106,107,16.75808985448388,5.87893716931768,20.88903218615965,3,-3,(3;-3),Nuclear,-322378.6733,-322377.2785,-322376.5439,-967132.4957
107,108,18.7345029288129,5.4181018287354,16.54780381759731,3,-1,(3;-1),Ligação,-1.924134035,-1.885959229,1.042763604,-2.76732966
108,109,16.497150929749,8.06406513413188,23.88793224065975,3,-1,(3;-1),Ligação,-0.8233671911,-0.8104480121,0.5266774049,-1.107137798
109,110,16.21526248807789,12.4063523204913,11.53299972581522,3,1,(3;+1),Anel,-0.06307239165,0.2124390844,0.2580682316,0.4074349243
110,111,18.54045821713807,5.10153889243636,21.42894625134793,3,-3,(3;-3),Nuclear,-9.313375697,-9.303025398,-8.495326017,-27.11172711
111,112,19.02870328076788,10.45671625125938,19.82110532300334,3,-1,(3;-1),Ligação,-0.7624742869,-0.759320409,0.473571622,-1.048223074
112,113,17.17194231270073,7.71764038343026,18.64025611269662,3,-3,(3;-3),Nuclear,-322452.6408,-322449.7674,-322449.3424,-967351.7506
113,114,16.97084490944164,15.77800975607684,9.16472872633685,3,-1,(3;-1),Ligação,-0.004240312382,-0.003292813148,0.03388473202,0.02635160649
114,115,17.53644607593643,19.30409627595459,5.93296695670308,3,-1,(3;-1),Ligação,-0.8086298022,-0.8011584841,0.5205474274,-1.089240859
115,116,16.195493110767,-0.26441347195564,-6.97666414631647,3,-1,(3;-1),Ligação,-0.003020642457,-0.00269691907,0.01895336388,0.01323580236
116,117,15.68630736104249,16.73482501061676,9.38803072651801,3,1,(3;+1),Anel,-0.001571746066,0.007141338396,0.01039865958,0.01596825191
